n,y, depth.  m ,bk,GZ1,GZ2,GZ3,GZ4,GZ5,GZ7,DGK,NKTD,NKTM,NKTR,ALPS
1,0,2298.2705,0.157415243,0.547872957,0.378971346,0.94144659,0,0,0,0,0,0.78529112,0,0.175439772
0,1,2281.355,0.418115633,0.279598621,0.133345792,0.662352646,0.859737992,0.26839256,0.744278552,0.187225167,0.573288194,0.78529112,0.437499673,0.453638765
0,1,2283.503,0.433424573,0.285112747,0.145849769,0.724276534,0.168552728,0.312576274,0.799863468,0.258121986,0.538669746,0.78529112,0.479442127,0.349245817
1,0,2477.002,0.438475926,0.267921649,0.123219324,0.959316196,0.149845697,0.348769316,0.825594993,0.323554165,0.576275743,0.78529112,0.433949973,0.718562688
1,0,2480.1345,0.44778117,0.245542442,0.118652457,0.546434295,0.755341236,0.285313982,0.782863253,0.391562294,0.553869351,0.78529112,0.465677228,0.999729957
1,0,2480.3135,0.466391658,0.252352352,0.126929169,0.567595416,0.825194948,0.286724158,0.816371177,0.433294592,0.571434389,0.78529112,0.441483997,0.133582713
1,0,3042.1945,0.449664189,0.774,0.584781382,0.289581825,0.441461635,0.774,0.337299689,0.131379454,0.774,0.783271674,0.171854728,0.735778184
1,0,2400.4795,0.374389864,0.234999733,0.115537397,0.621674516,0.143199938,0.437667833,0.763579215,0.396972362,0.598531888,0.783271674,0.41322393,0.689842364
1,0,2964.8665,0,0,0,0,0,0,0,0.118499115,0.774,0.783271674,0.178984199,0.296425744
0,1,2689.0275,0.826926229,0.774,0.774,0.299927387,0,0,0,0,0,0.783271674,0,0.462283442
0,1,2265.6925,0.464952286,0.267921649,0.122559457,0.695339893,0.699347416,0.223528682,0.868155746,0.26698536,0.516446879,0.783271674,0.579957125,0.355846755
